关注人数,区域,单价,城区,小区,建成年份,总价,户型_厅,户型_室,朝向,标题,楼层,满二年,满五年,装修,近地铁,面积
11,东直门,104392,东城,北官厅胡同 ,1988,630,1,3,南 北,北官厅胡同，南北两居，业主诚售,顶层(共6层),False,True,简装,True,60.35
56,和平里,117204,东城,和平里东街9号院 ,2000,1150,1,3,南 北,航天部单位分房，正规3居室带客厅，楼龄新带电梯。,中楼层(共12层),False,True,简装,False,98.12
76,崇文门,79121,东城,营房西街 ,1990,504,1,2,南 西,新上 婚房装修两居 中间层 诚意出售 看房方便,中楼层(共6层),True,False,精装,True,63.7
15,安定门,108228,东城,湖景苑 ,1999,880,1,2,南 北,湖景苑 2000年商品房小区 24小时管理,中楼层(共10层),False,True,简装,False,81.31
42,永定门,73771,东城,景泰西里西区 ,2005,450,1,2,南,二环边 景泰西里西区 南向 无遮挡 精装修,低楼层(共10层),False,True,精装,False,61
32,东直门,110211,东城,海运仓小区 ,2002,925,2,3,东 西,新上复式结构+带电梯+视野好+装修好,高楼层(共9层),False,True,精装,False,83.93
40,广渠门,93608,东城,绿景馨园 ,2004,760,1,3,南 北,满五年唯一  精装修  看房随时,高楼层(共6层),False,True,精装,False,81.19
19,广渠门,110991,东城,安化北里 ,1970,408,1,1,南,安化北里  看房方便  正朝南 采光好,中楼层(共6层),True,False,简装,False,36.76
51,东花市,82397,东城,富贵园二区 ,2003,630,1,2,东,满5年唯一，对商品房小区花园视野好，地铁沿线,中楼层(共18层),False,True,简装,True,76.46
28,东花市,112260,东城,富贵园四区 ,2006,1520,2,3,南 北,富贵园四区  6层板楼带电梯一梯两户  南北通透三居,中楼层(共6层),False,True,精装,False,135.4
7,崇文门,106777,东城,兴隆都市馨园 ,2004,416,0,1,南,东城区崇文门兴隆都市馨园南向大开间,中楼层(共7层),True,False,精装,True,38.96
21,崇文门,92973,东城,南岗子 ,1988,680,1,3,南 北,南岗子街58号 南北通透三居室 精装修中间层 采光好,中楼层(共6层),False,True,精装,False,73.14
19,东直门,102670,东城,北新仓胡同 ,2003,650,1,1,南,东直门内北新仓小区电梯南向大一居,中楼层(共14层),False,True,精装,False,63.31
11,东直门,101339,东城,海运仓胡同3号院 ,1986,545,1,2,南 北,海运仓3号院  满五年 业主家庭名下唯一住房 公摊小,顶层(共5层),False,True,简装,False,53.78
57,朝阳门内,134728,东城,豆瓣胡同 ,2003,1160,1,3,南 北,豆瓣小区，南北通透，三居室无遮挡，电梯直达高楼层,高楼层(共10层),False,True,精装,True,86.1
88,东直门,101229,东城,后永康胡同6号院 ,1990,610,1,2,南 北,后永康胡同6号院 满五年唯一央产房 南北向两居室,中楼层(共5层),False,True,简装,True,60.26
46,和平里,107815,东城,安外花园 ,1986,625,1,2,南 北,和平里 南北2室+客厅，3层，全天阳光直射 无浪费面积,中楼层(共5层),True,False,简装,False,57.97
30,安定门,108320,东城,安德路47号院 ,1990,608,1,2,东 南 西,安定门 青年湖 安德路 中间层两居 客厅带窗 满五年,中楼层(共6层),False,True,简装,True,56.13
29,广渠门,94195,东城,培新街乙5号院 ,1999,675,1,2,东 西,培新街乙5号院 东西通透两居 采光时间长,低楼层(共16层),False,True,简装,False,71.66
46,东直门,100428,东城,民安小区东扬威街 ,2002,775,1,2,南 北,东直门民安小区南北通透两居室 满五年,高楼层(共15层),False,True,精装,False,77.17
42,广渠门,74728,东城,金世纪嘉园 ,2005,500,1,1,南 西 北,东城广渠门 金世纪小区  正规一居室,高楼层(共21层),False,True,简装,False,66.91
14,安贞,107837,东城,安外大街 ,1994,505,1,1,东,安外大街正规一居室 满五唯一 视野好 采光棒,高楼层(共16层),False,True,简装,False,46.83
41,广渠门,110754,东城,幸福家园三期 ,2005,1100,1,2,西南,崇文幸福家园  高楼层  视野开阔 不临街,中楼层(共18层),False,True,精装,True,99.32
97,东花市,96090,东城,本家润园一期 ,2005,1140,1,2,东 西,满五年  精装修 无遮挡 采光好 商品房,顶层(共6层),False,True,精装,False,118.64
63,安定门,101880,东城,安外大街3号院 ,1988,710,1,3,南 北,南北通透，中间楼层，满五年唯一住房,低楼层(共6层),False,True,简装,False,69.69
131,永定门,65473,东城,革新南路2号院 ,1989,530,1,3,南 西 北,东城永定门 双地铁站口 满五唯一户型方正 诚意出售,低楼层(共21层),False,True,简装,False,80.95
40,东花市,88176,东城,东花市大街2号院 ,1980,607,1,3,南 北,东花市大街2号院 南北通透三居双卧朝南 次顶层 采光好,高楼层(共6层),False,True,简装,False,68.84
26,东花市,95585,东城,天娇园 ,2007,630,1,2,东,天娇园 2007年商品房 满五年唯一 东向两居室,中楼层(共11层),False,True,简装,False,65.91
