排名, 电影名, 评分, 评论数, 国家
1, 肖申克的救赎, 9.7, 1734796, 美国
2, 霸王别姬, 9.6, 1282264, 中国大陆 / 中国香港
3, 阿甘正传, 9.5, 1338691, 美国
4, 这个杀手不太冷, 9.4, 1533219, 法国
5, 泰坦尼克号, 9.4, 1275825, 美国
6, 美丽人生, 9.5, 782416, 意大利
7, 千与千寻, 9.3, 1366496, 日本
8, 辛德勒的名单, 9.5, 688444, 美国
9, 盗梦空间, 9.3, 1305168, 美国 / 英国
10, 忠犬八公的故事, 9.3, 884395, 美国 / 英国
11, 海上钢琴师, 9.3, 1062988, 意大利
12, 机器人总动员, 9.3, 862972, 美国
13, 三傻大闹宝莱坞, 9.2, 1183180, 印度
14, 楚门的世界, 9.3, 931986, 美国
15, 放牛班的春天, 9.3, 827897, 法国 / 瑞士 / 德国
16, 星际穿越, 9.3, 949330, 美国 / 英国 / 加拿大 / 冰岛
17, 大话西游之大圣娶亲, 9.2, 928565, 中国香港 / 中国大陆
18, 熔炉, 9.3, 560923, 韩国
19, 龙猫, 9.2, 803937, 日本
20, 无间道, 9.2, 761571, 中国香港
